CITY,STATE,KMA,CITY_STATE,Available_Loads,lat,lon
Los Angeles,CA,LAX,"Los Angeles, CA",909,34.132389,-118.026374
Lubbock,TX,LBB,"Lubbock, TX",72,33.650376,-101.678579
North Platte,NE,LBF,"North Platte, NE",13,41.132595,-100.774631
Lexington,KY,LEX,"Lexington, KY",399,42.4558,-71.2193
Little Rock,AR,LIT,"Little Rock, AR",315,34.766974,-92.265376
Laredo,TX,LRD,"Laredo, TX",293,27.515538,-99.498579
Saginaw,MI,MBS,"Saginaw, MI",11,43.264868,-83.790287
Kansas City,MO,MCI,"Kansas City, MO",485,39.163189,-94.569882
Macon,GA,MCN,"Macon, GA",135,32.84386,-83.598686
Harrisburg,PA,MDT,"Harrisburg, PA",1089,40.261767,-76.883079
Memphis,TN,MEM,"Memphis, TN",755,35.0337,-89.9343
McAllen,TX,MFE,"McAllen, TX",124,26.21544,-98.235871
Medford,OR,MFR,"Medford, OR",76,42.319293,-122.887011
Montgomery,AL,MGM,"Montgomery, AL",147,32.019397,-86.129246
Miami,FL,MIA,"Miami, FL",159,25.779,-80.1982
Milwaukee,WI,MKE,"Milwaukee, WI",320,42.937293,-87.994277
Rock Island,IL,MLI,"Rock Island, IL",112,41.518333,-90.356944
Mobile,AL,MOB,"Mobile, AL",186,31.006817,-88.04274
Madison,WI,MSN,"Madison, WI",63,43.073,-89.3817
Missoula,MT,MSO,"Missoula, MT",7,46.860138,-113.746254
Minneapolis,MN,MSP,"Minneapolis, MN",242,45.049582,-93.246095
New Orleans,LA,MSY,"New Orleans, LA",156,29.963071,-90.160953
Oklahoma City,OK,OKC,"Oklahoma City, OK",139,35.3337,-97.4922
Omaha,NE,OMA,"Omaha, NE",221,41.261,-95.9376
Ontario,CA,ONT,"Ontario, CA",1369,34.0631,-117.6197
Norfolk,VA,ORF,"Norfolk, VA",344,36.8466,-76.2855
Pendleton,OR,PDT,"Pendleton, OR",44,45.660535,-118.783104
Portland,OR,PDX,"Portland, OR",115,45.442919,-122.615092
Philadelphia,PA,PHL,"Philadelphia, PA",604,40.722728,-76.11348
Phoenix,AZ,PHX,"Phoenix, AZ",430,40.126704,-75.527192
Pittsburgh,PA,PIT,"Pittsburgh, PA",378,40.474536,-79.952524
Rapid City,SD,RAP,"Rapid City, SD",5,44.077041,-103.200259
Raleigh,NC,RDU,"Raleigh, NC",346,46.335236,-101.282651
Rockford,IL,RFD,"Rockford, IL",133,42.292233,-89.116118
Richmond,VA,RIC,"Richmond, VA",407,37.453158,-77.469798
Reno,NV,RNO,"Reno, NV",140,39.526812,-119.811275
Roanoke,VA,ROA,"Roanoke, VA",232,37.206793,-80.145501
Rochester,NY,ROC,"Rochester, NY",148,43.112808,-77.490596
San Diego,CA,SAN,"San Diego, CA",88,32.828161,-116.754328
San Antonio,TX,SAT,"San Antonio, TX",165,29.468525,-98.526352
Savannah,GA,SAV,"Savannah, GA",610,32.067631,-81.102394
South Bend,IN,SBN,"South Bend, IN",108,41.672699,-86.253489
Stockton,CA,SCK,"Stockton, CA",768,37.958,-121.2876
Louisville,KY,SDF,"Louisville, KY",307,39.978942,-105.145557
Seattle,WA,SEA,"Seattle, WA",181,47.611435,-122.330456
San Francisco,CA,SFO,"San Francisco, CA",164,37.775,-122.4183
Shreveport,LA,SHV,"Shreveport, LA",91,32.503743,-93.748696
Salt Lake City,UT,SLC,"Salt Lake City, UT",360,40.564614,-112.097718
Springfield,MA,SPR,"Springfield, MA",79,42.115066,-72.641109
St Cloud,MN,STC,"St Cloud, MN",36,45.552113,-94.128447
St Louis,MO,STL,"St Louis, MO",448,38.503611,-90.675833
Syracuse,NY,SYR,"Syracuse, NY",96,43.073359,-76.05578
Taylorville,IL,TAZ,"Taylorville, IL",55,39.554516,-89.313357
Tallahassee,FL,THL,"Tallahassee, FL",27,30.428563,-84.259337
Tifton,GA,TMA,"Tifton, GA",168,31.450278,-83.508611
Toledo,OH,TOL,"Toledo, OH",418,42.007696,-92.566206
Tulsa,OK,TUL,"Tulsa, OK",202,35.917291,-95.872895
Tucson,AZ,TUS,"Tucson, AZ",16,32.213873,-110.969445
Twin Falls,ID,TWF,"Twin Falls, ID",60,42.600763,-114.782545
Texarkana,TX,TXK,"Texarkana, TX",43,33.407371,-94.118245
Knoxville,TN,TYS,"Knoxville, TN",336,35.9609,-83.9189
Quincy,IL,UIN,"Quincy, IL",20,39.930701,-91.376284
Winchester,VA,WGO,"Winchester, VA",465,39.185803,-78.182697
Fayetteville,AR,XNA,"Fayetteville, AR",207,36.052045,-94.153395
Ottawa,ON,YOW,"Ottawa, ON",12,36.779616,-94.700239
Regina,SK,YQR,"Regina, SK",2,36.20283,-107.071932
Montreal,PQ,YUL,"Montreal, PQ",61,46.425736,-90.244195
Vancouver,BC,YVR,"Vancouver, BC",24,45.64183,-122.68014
Prince George,BC,YXS,"Prince George, BC",14,38.671992,-77.016217
London,ON,YXU,"London, ON",102,41.62629,-72.077499
Toronto,ON,YYZ,"Toronto, ON",148,37.795343,-95.936818
